stop_name,stop_lat,stop_lon,Routes Passing,Trips Passing,Degree,Betweenness,Score,Nearby Stops,Nearest Metro,Metro Line,Metro Distance (m),Walking Time (min),PR_norm,Degree_norm,Distance_norm,Routes_norm,Accessibility,LMCI,Betweenness_norm,PageRank_norm,Trips_norm,LMCI Category
Ashok Vihar Crossing,28.701953,77.164286,107,107,0.0050479555779909,0.0117246794595671,0.0011433611709086,"Ashok Vihar Crossing (109 m), Ashok Vihar Crossing (123 m), Ashok Vihar Crossing (211 m), Richi Rich (242 m), Wazir Pur Industrial Area/ Ashok Vihar Crossing (254 m)",Azadpur,Yellow Line,1269.05,15.23,0.6294212827025629,0.7600000000000101,0.07377844591465585,0.31927710843373497,0.9262215540853441,0.612,0.09951392406446422,0.6294212827025629,0.31927710843373497,Moderate
Azadpur Terminal,28.707667,77.180271,246,246,0.0053003533568904,0.0082566015462753,0.0009428565513059,"Azadpur Metro station (61 m), Azadpur Terminal (72 m), Azadpur Metro Station (77 m), Azadpur Terminal (Bara Bagh Road) (159 m), Azadpur Terminal (194 m)",Azadpur,Yellow Line,461.56,5.54,0.5147950815489201,0.8000000000000032,0.026800653450277972,0.7379518072289156,0.9731993465497221,0.662,0.07007840360498137,0.5147950815489201,0.7379518072289156,Moderate
Model Town III,28.706127,77.185301,142,142,0.0012619888944977,0.0001162819803882,0.0001990820627992,"Model Town III (27 m), Azadpur Metro Station (447 m), Azadpur Metro station (460 m), Bara Bagh (536 m), Bara Bagh (548 m)",Model Town,Yellow Line,929.62,11.16,0.08958770078406905,0.1600000000000038,0.05403123901898682,0.42469879518072295,0.9459687609810132,0.394,0.0009869503218678274,0.08958770078406905,0.42469879518072295,Poor
Model Town II,28.704282,77.190629,144,144,0.0015143866733972,0.0017395051493714,0.0002288800156157,"Model Town II (28 m), Alpana Cinema (Model Town Mtr Stn) (343 m), Alpana Cinema (Model Town Mtr Stn) (348 m), Alpana Cinema (Model Town Mtr Stn) (354 m), Malik Pur Vill (523 m)",Model Town,Yellow Line,371.69,4.46,0.10662285010022422,0.19999999999999685,0.02157223674075384,0.4307228915662651,0.9784277632592462,0.417,0.01476415487018196,0.10662285010022422,0.4307228915662651,Poor
Alpana Cinema (Model Town Mtr Stn),28.703017,77.193837,130,130,0.0015143866733972,0.0025563457489127,0.0004599782491136,"Alpana Cinema (Model Town Mtr Stn) (37 m), Alpana Cinema (Model Town Mtr Stn) (36 m), Malik Pur Vill (325 m), Model Town II (343 m), Model Town II (342 m)",Model Town,Yellow Line,36.85,0.44,0.23873907092182725,0.19999999999999685,0.0020920648144485115,0.38855421686746994,0.9979079351855515,0.451,0.021697138724951295,0.23873907092182725,0.38855421686746994,Poor
New Police Line,28.699589,77.202973,68,68,0.0017667844522968,0.0022579142611242,0.0003480082217362,"New Police Lines (60 m), TB Hospital (227 m), TB Hospital (228 m), Vijay Nagar (237 m), GTB Nagar (297 m)",GTB Nagar,Yellow Line,372.8,4.47,0.17472708502956838,0.2400000000000057,0.02163681382484833,0.20180722891566266,0.9783631861751517,0.406,0.019164183473027813,0.17472708502956838,0.20180722891566266,Poor
GTB Nagar,28.698294,77.206554,145,145,0.0025239777889954,0.005086119196979,0.000469226271227,"GTB Nagar (7 m), GTB Nagar (86 m), GTB Nagar (86 m), GTB Nagar / Haqiqat Nagar (93 m), GTB Nagar / Haqiqat Nagar (102 m)",GTB Nagar,Yellow Line,22.76,0.27,0.2440260595465504,0.36000000000000065,0.001272343089321161,0.4337349397590362,0.9987276569106789,0.486,0.04316874344381179,0.2440260595465504,0.4337349397590362,Poor
INS Hostel,28.696197,77.21214,148,148,0.0010095911155981,0.0043004968585932,0.0002056863923101,"INS Hostel (43 m), Vishwa Vidyalaya Metro Station (220 m), Khalsa College (281 m), Khalsa College (290 m), Vishwa Vidyalaya Metro Station (336 m)",Vishwa Vidyalaya,Yellow Line,282.95,3.4,0.09336332054036901,0.11999999999999496,0.016409560666388965,0.44277108433734946,0.983590439333611,0.408,0.036500726463468865,0.09336332054036901,0.44277108433734946,Poor
Vishwa Vidyalaya Metro Station,28.695022,77.215318,148,148,0.0012619888944977,0.0054342867934085,0.0002722056584465,"Vishwa Vidyalaya Metro Station (3 m), Lucknow Road (120 m), Vishwa Vidyalaya Metro Station (121 m), Social works school (257 m), Social Works School (272 m)",Vishwa Vidyalaya,Yellow Line,58.54,0.7,0.13139162530388188,0.1600000000000038,0.0033539359441867823,0.44277108433734946,0.9966460640558132,0.429,0.046123836917563055,0.13139162530388188,0.44277108433734946,Poor
Mall Road,28.69382,77.218624,179,179,0.002776375567895,0.014134212260032,0.0003986891815004,"Mall Road (27 m), Mall Road (30 m), Mall Road (124 m), Mall Road (127 m), Social Works School (128 m)",Vishwa Vidyalaya,Yellow Line,404.73,4.86,0.20370081092227918,0.4000000000000095,0.02349442309974658,0.536144578313253,0.9765055769002534,0.502,0.11996497903472549,0.20370081092227918,0.536144578313253,Moderate
Banarsi Daas Estate Timarpur,28.697403,77.220567,62,62,0.000504795557799,0.0013260434180473,0.0001156989554004,"Banarsi Daas Estate Timarpur (36 m), Mall Road (345 m), Timarpur (362 m), Timarpur (369 m), INMAS Hospital (346 m)",Vishwa Vidyalaya,Yellow Line,628.76,7.55,0.041918530565200174,0.03999999999999303,0.03652794035171821,0.18373493975903615,0.9634720596482818,0.335,0.011254873488423182,0.041918530565200174,0.18373493975903615,Poor
Timarpur,28.701025,77.22127,62,62,0.000504795557799,0.001336460460456,0.0001361717538162,"Timarpur (38 m), Timarpur (46 m), Timar Pur Qrts (229 m), Education Office (Lucknow Rd) (236 m), DDA Flats Lucknow Road (258 m)",Vishwa Vidyalaya,Yellow Line,922.09,11.07,0.05362259560887597,0.03999999999999303,0.05359316204310258,0.18373493975903615,0.9464068379568974,0.333,0.01134328876415081,0.05362259560887597,0.18373493975903615,Poor
Balak Ram Hospital,28.70539,77.223156,65,65,0.0017667844522968,0.0023561857126809,0.0002388977811455,"Balak Ram Hospital (2 m), Balak Ram Hospital (52 m), Police Station Timarpur (193 m), Police Station Timarpur (195 m), CGHC Dispensary (212 m)",Vishwa Vidyalaya,Yellow Line,1412.91,16.96,0.1123498922452094,0.2400000000000057,0.08214786872351466,0.1927710843373494,0.9178521312764854,0.371,0.019998268345168036,0.1123498922452094,0.1927710843373494,Poor
Police Station Timarpur,28.706947,77.224038,64,64,0.0012619888944977,0.0029648170152167,0.0001952267090003,"Police Station Timarpur (14 m), Police Station Timarpur (67 m), Balak Ram Hospital (191 m), Balak Ram Hospital (193 m), Balak Ram Hospital (243 m)",Vishwa Vidyalaya,Yellow Line,1603.63,19.24,0.08738363904750233,0.1600000000000038,0.09324349167711923,0.1897590361445783,0.9067565083228808,0.35,0.025164063233861722,0.08738363904750233,0.1897590361445783,Poor
Nehru Vihar Crossing,28.709086,77.22626,35,35,0.0017667844522968,0.0042902290319842,0.0003937617668445,"Wazirabad Crossing Nehru Vihar Crossing (34 m), Nehru Vihar Xing (35 m), Wazirabad Crossing GT Road (188 m), Police Station Timarpur (256 m), Wazirabad Crossing GT Road (300 m)",Vishwa Vidyalaya,Yellow Line,1922.57,23.07,0.20088386423729118,0.2400000000000057,0.11179864050693591,0.10240963855421688,0.8882013594930641,0.374,0.03641357766584085,0.20088386423729118,0.10240963855421688,Poor
Wazirabad Crossing,28.711529,77.228752,46,46,0.0015143866733972,0.0017430283584196,0.0003537689747616,"Wazirabad Crossing (58 m), Wazirabad Crossing GT Road (181 m), Wazirabad Crossing GT Road (235 m), Nehru Vihar Crossing (364 m), Wazirabad Crossing Nehru Vihar Crossing (397 m)",Vishwa Vidyalaya,Yellow Line,2285.0,27.42,0.17802044174321624,0.19999999999999685,0.13288393112708535,0.1355421686746988,0.8671160688729147,0.357,0.014794058319474104,0.17802044174321624,0.1355421686746988,Poor
Gurudwara NanakSar,28.708955,77.242031,39,39,0.0012619888944977,0.0004916961477854,0.0003931215776709,"Gurudwara Nanak Sar (156 m), Gurudwara Nanak Sar (179 m), Gurudwara Nanak Sar Crossing (Signature Bridge) (628 m), Nanaksar Gurudwara Crossing (616 m), Gurudwara Nanak Sar Crossing (Signature Bridge) (671 m)",Shyam Park,Red Line,2817.16,33.81,0.20051787539805713,0.1600000000000038,0.1638436978583679,0.11445783132530121,0.8361563021416321,0.343,0.004173300710031735,0.20051787539805713,0.11445783132530121,Poor
