stop_name,stop_lat,stop_lon,Routes Passing,Trips Passing,Degree,Betweenness,Score,Nearby Stops
Fire Station Sec-8,28.707061,77.127011,12,12,0.0005047955577990914,0.0,6.658573255945196e-05,"Fire Station Rohini Sec 8 (30 m), Rohini Sec 7 8 Xing (158 m), Rohini Sector-7-8 Xing (194 m), Rohini Sec 7 8 Xing (197 m), Rohini Sec 7 and 8 Crossing (221 m)"
Madhuvan Chowk,28.705196,77.129655,54,54,0.004795557799091368,0.005780075941626925,0.0007446175665125008,"Madhuvan Chowk (75 m), Rohini Sec 7 8 Xing (179 m), Madhuban Chowk (Outer Ring Road) (230 m), Madhuban Chowk Outer Ring Road (262 m), Madhuban Chowk (Outer Ring Road) (252 m)"
Madhuban Chowk (Outer Ring Road),28.7054,77.132,39,39,0.003785966683493185,0.0012932217145862762,0.0005131374508643378,"Madhuban Chowk (Outer Ring Road) (56 m), Madhuvan Chowk (198 m), Madhuvan Chowk (230 m), Madhuban Chowk Pitampura Metro Stn (318 m), Madhuban Chowk Outer Ring Road (327 m)"
RU Block Power House,28.708375,77.134799,32,32,0.002523977788995457,0.002535496715935069,0.00035872857341013805,"Pitampura Power House (72 m), Pitampura Power House (78 m), Power House Pitam Pura (82 m), Pitampura RU-Block (169 m), Ptampura Power House (216 m)"
Pitampura RU Block,28.71064,77.13667,48,48,0.0027763755678950025,0.0017773386636426892,0.0002342984216813021,"Pitampura RU Block (82 m), Pitampura RU-Block (316 m), RU Block Power House (311 m), Ptampura Power House (343 m), Prashant Vihar (348 m)"
Pitampura RU Block,28.70992,77.13649,48,48,0.0027763755678950025,0.0017773386636426892,0.0002342984216813021,"Pitampura RU Block (82 m), Pitampura RU-Block (235 m), RU Block Power House (238 m), Ptampura Power House (265 m), Pitampura Power House (304 m)"
Pitampura RU-Block,28.7078,77.1364,4,4,0.0010095911155981827,4.9058899381891556e-05,0.00012726590900105628,"Ptampura Power House (48 m), RU Block Power House (169 m), Pitampura Power House (180 m), Pitampura Power House (183 m), Power House Pitam Pura (185 m)"
Pitampura CD Block (Aggrasen Model School),28.705913,77.138568,15,15,0.001514386673397274,0.0009787026016041442,0.0002049107518199761,"Pitampura CD-Block (11 m), Ptampura Power House (251 m), Pittampura AP-Block (295 m), Pittampura AP-Block (301 m), Pitampura RU-Block (298 m)"
Pittampura AP-Block,28.703376,77.139486,32,32,0.0012619888944977284,0.0016784471953500816,0.0002186672790243597,"Pittampura AP-Block (21 m), Pitampura CD Block (Aggrasen Model School) (295 m), Pitampura CD-Block (303 m), Pitam Pura KD Block (368 m), Pitam Pura KD Block (386 m)"
Pitam Pura KD Block,28.700344,77.141026,32,32,0.0010095911155981827,0.0001969158444393336,0.00015931081167468413,"Pitam Pura KD Block (18 m), DAV School (282 m), DAV Stop (297 m), Kohat Enclave Metro Station (350 m), DAV School (322 m)"
