stop_name,stop_lat,stop_lon,Routes Passing,Trips Passing,Degree,Betweenness,Score,Nearby Stops,Nearest Metro,Metro Line,Metro Distance (m),Walking Time (min)
Dhool Siras Xing,28.560339,77.039848,2,2,0.000504795557799,0.0,8.69396260192269e-05,"Dhool Siras Xing (59 m), Pochhan Pur Village Crossing (138 m), Pochhan Pur Village Crossing (158 m), Pochan Pur Village (336 m), Pochan Pur Village (378 m)",Sector 28,Violet Line,1816.73,21.8
Pochan Pur Village,28.559093,77.043444,13,13,0.0017667844522968,0.002191645830495,0.0003474514823505,"Pochan Pur Village (71 m), Dhool Siras Xing (370 m), Dhool Siras Xing (378 m), Pochhan Pur Village Crossing (445 m), Pochhan Pur Village Crossing (465 m)",Dwarka Sector 21,Blue Line,1691.23,20.3
Dwarka Sec-22 Cluster Depot,28.555326,77.051086,1,1,0.000504795557799,4.256936528357004e-05,0.0001185243958116,"Dwarka Sec 21 Crossing Bharthal Chowk (67 m), Dwarka Sec 21 Crossing Bharthal Chowk (84 m), Dwarka Sec 25 Crossing (134 m), Dwarka Sec 25 Crossing (137 m), Bharthal Chowk (Bharthal Road) (156 m)",Dwarka Sector 21,Blue Line,834.96,10.02
Keshav Kunj,28.55789,77.053352,1,1,0.000504795557799,9.4078704424692e-05,8.92159170135418e-05,"Keshav Kunj Apartments (24 m), Keshav Kunj Apartments (35 m), Transport Department Dwarka (98 m), Transport Department Dwarka (111 m), Keshav Kunj / Pochan Pur Crossing (111 m)",Dwarka Sector 21,Blue Line,847.7,10.17
Dwarka Sec 23 Mall,28.564623,77.054916,1,1,0.000504795557799,8.599426844411187e-05,0.0001259888316076,"Dwarka Sec-23 Mall (18 m), Vardhman City Mall Sec-19 Dwarka (53 m), Vardhman City Mall Sec-19 Dwarka (59 m), Harmony Apartments (242 m), Harmony Apartments (246 m)",Dwarka Sector 8,Blue Line,1190.97,14.29
Pochan Pur Village Dwarka Sec 23,28.5651882,77.0496593,10,10,0.0012619888944977,0.0013577535285853,0.0002698231668903,"Pochan Pur Village Dwarka Sec 23 (20 m), Dwarka Sec 23 / Pochan Pur Village (28 m), Dwarka Sec-23 (72 m), Dwarka Sec-23 (85 m), Radha Swami Satsang Sec-23 Dwarka (188 m)",Dwarka,Blue Line,1430.15,17.16
DDA Booster Pump Station,28.5714877,77.0526741,6,6,0.0007571933366986,0.0043853182983303,0.0001920854394914,"DDA Booster Pump Station (27 m), Amrohi More (354 m), Amrohi More (393 m), St Marry School (460 m), St Marry School (468 m)",Dwarka,Blue Line,1035.31,12.42
Dwarka Sec 19-20 Crossing,28.576358,77.056799,6,6,0.000504795557799,0.0041553234323088,0.0001084403123494,"Dwarka Sec 19-20 Crossing (42 m), Dwarka Sec-19 Pkt.-2. (151 m), Dwarka Sec-19 Modern School (309 m), NHAI Building/ Dwarka Sec-10 Metro Station (309 m), Dwarka Sec-19 Modern School (324 m)",Dwarka Sector 10,Blue Line,525.35,6.3
Dwarka Court,28.580509,77.060448,4,4,0.0007571933366986,9.45154340738066e-05,0.000111400549085,"Dwarka Court (32 m), Dwarka Court (175 m), NHAI Building/ Dwarka Sec-10 Metro Station (206 m), Sector 8 DTC Bus Depot (212 m), Dwarka Court (251 m)",Dwarka Sector 10,Blue Line,294.78,3.54
Gole Market (St. Columbas School),28.628962,77.205132,1,1,0.000504795557799,0.0,8.378407839799476e-05,"Gole Market (Sahitya Sadan) (5 m), Gole Market (Sahitya Sadan) (17 m), St. Colambas School (26 m), sent. colam bus school (283 m), NDPO (Kharak Singh Marg) (320 m)",Patel Chowk,Yellow Line,1094.9,13.14
Gole Market (Bhai Veer Singh Marg),28.63228,77.205368,31,31,0.0022715800100959,0.0001112105444369,0.0003446122917697,"Gole Market (Bhai Veer Singh Marg) (10 m), Gole Market (14 m), Gole Market (324 m), Gole Market (314 m), sent. colam bus school (306 m)",Ramakrishna Ashram Marg,Blue Line,833.18,10.0
power house,28.66906,77.093353,5,5,0.0010095911155981,0.009515809127581,0.0002339673071847,"power house (30 m), Pachim Vihar X-ing (54 m), Guru Hari K N (102 m), P.Vihar Power Houe (115 m), Paschim Vihar Chowk (152 m)",Peera Garhi,Green Line,1192.96,14.32
Guru Hari Kishan Nagar,28.670389,77.083244,3,3,0.0015143866733972,0.0135257762719461,0.0001824472186363,"Gh12 P Vihar (19 m), Guru Harkishan Nagar (46 m), Guru Harkishan Nagar (51 m), Guru Hari Kishan Nagar (46 m), Sai Mandir (59 m)",Udyog Nagar,Green Line,1210.29,14.52
Pachim Vihar GH 13/14,28.670595,77.081512,2,2,0.000504795557799,0.0035824610315758,8.641366902636518e-05,"Pachim Vihar GH 13/14 (51 m), Sai Mandir (113 m), Gh12 P Vihar (158 m), Guru Hari Kishan Nagar (171 m), Guru Harkishan Nagar (189 m)",Udyog Nagar,Green Line,1166.41,14.0
GH 12 Pachim Vihar,28.667747,77.079338,2,2,0.000504795557799,0.0030249501034888,0.0001477167098481,"GH 12 Pachim Vihar (15 m), Sai Ram Mandir / Angad Park (40 m), Sai Ram Mandir / Angad Park (48 m), Nihal Vihar / Ambika Vihar (288 m), Nihal Vihar Crossing (296 m)",Udyog Nagar,Green Line,1487.6,17.85
Nihal Vihar Crossing,28.665051,77.07888,2,2,0.000504795557799,0.0025214289601249,0.0002579346722442,"Nihal Vihar / Ambika Vihar (11 m), Nihal Vihar Crossing (14 m), Nihal Vihar / Ambika Vihar (16 m), GH 12 Pachim Vihar (302 m), GH 12 Pachim Vihar (313 m)",Udyog Nagar,Green Line,1789.43,21.47
B Block Nihal Vihar,28.667353,77.076492,2,2,0.000504795557799,0.002017652933874,0.0002223574243097,"B Block Nihal Vihar (20 m), Rajendra Public School (203 m), Rajendra Public School (219 m), GH 12 Pachim Vihar (275 m), GH 12 Pachim Vihar (282 m)",Udyog Nagar,Green Line,1582.31,18.99
Rajendra Public School,28.668816,77.075249,2,2,0.000504795557799,0.0015136220247361,0.0002249486753409,"Rajendra Public School (18 m), B Block Nihal Vihar (193 m), B Block Nihal Vihar (203 m), Sai Ram Mandir / Angad Park (402 m), GH 12 Pachim Vihar (405 m)",Udyog Nagar,Green Line,1467.67,17.61
Old Police Chowki,28.66827,77.070732,2,2,0.000504795557799,0.0010093362327111,0.0003576972453485,"Old Police Chowki (14 m), Rajendra Public School (432 m), Rajendra Public School (446 m), B Block Nihal Vihar (572 m), B Block Nihal Vihar (577 m)",Nangloi,Green Line,1672.32,20.07
Delhi State Co Operative Bank,28.666021,77.064369,2,2,0.000504795557799,0.000504795557799,0.0003341553155594,"Delhi State Co Operative Bank (18 m), Nihal Vihar T Point (366 m), Nihal Vihar T Point (378 m), Old Police Chowki (670 m), Old Police Chowki (681 m)",Nangloi,Green Line,1815.72,21.79
Nihal Vihar T Point,28.664778,77.060898,2,2,0.0002523977788995,0.0,0.0001468921713741,"Nihal Vihar T Point (15 m), Delhi State Co Operative Bank (366 m), Delhi State Co Operative Bank (381 m), Chander Vihar (Nilothi) (516 m), Chander Vihar (Nilothi) (529 m)",Nangloi Railway station,Green Line,1983.79,23.81
Nirmal Vihar,28.625293,76.992481,69,69,0.000504795557799,6.080122742783053e-05,9.637689990917036e-05,"Nirmal Vihar (13 m), Nirmal Vihar (28 m), DICHAON KALAN DEPOT (343 m), Udaseen Ashram (579 m), Udaseen Ashram (586 m)",Najafgarh,Grey Line,1745.29,20.94
Udaseen Ashram,28.621564,76.988064,69,69,0.0010095911155981,0.0010043032030921,0.0002900320865259,"Udaseen Ashram (20 m), Udaseen Ashram (19 m), DICHAON KALAN DEPOT (255 m), NAJAFGARH (351 m), Shiv Enclave Dichau (435 m)",Najafgarh,Grey Line,1166.65,14.0
Pipal Wala Road Crossing Mohan Garden,28.620287,77.039157,12,12,0.0017667844522968,0.0453337962090335,0.0010633796250153,"Mohan Garden (2 m), Mohan Garden (26 m), Pipal Wala Road Crossing Mohan Garden (27 m), Sewak Park (63 m), Mohan Garden (74 m)",Shiv Vihar,Pink Line,475.07,5.7
Hastsal Village LIG Flats,28.63477,77.06174,13,13,0.0012619888944977,0.0010183950885972,0.0003284383280592,"Hastsal Village LIG Flats (26 m), lig flats hasthshal (165 m), C Block Vikas Puri (682 m), C Block Vikas Puri (693 m), C Block Vikas Puri (707 m)",Uttam Nagar East,Blue Line,1153.19,13.84
ITO,28.628183,77.24515,187,187,0.0053003533568904,0.0052819035289098,0.0006378203585609,"ITO (10 m), ITO AGCR (35 m), ITO (74 m), ITO (74 m), Govt Press (125 m)",ITO,Violet Line,445.35,5.34
Harewali Border,28.8400509919031,77.0068071426695,5,5,0.0007571933366986,0.0166348693561476,0.0009324122544679,"Harewali Border (14 m), Harewali Gaon (986 m), Harewali Gaon (1014 m), Auchandi Border (2125 m), Auchandi Border (2152 m)",Ghevra,Green Line,17189.65,206.28
Harewali Gaon,28.8309166666667,77.0073666666667,11,11,0.0007571933366986,0.0131635639523994,0.0001649279003209,"Harewali Gaon (28 m), Harewali Border (1013 m), Harewali Border (1014 m), Harewali Crossing (1434 m), Harewali Crossing (1450 m)",Ghevra,Green Line,16182.84,194.2
Harewali Crossing,28.81855,77.003033,33,33,0.0022715800100959,0.0048208623936882,0.0005186954967959,"Harewali Crossing (20 m), Auchandi Sarvodaya School (514 m), Auchandi Sarvodaya School (523 m), Harewali Xing (614 m), Auchandi Village (823 m)",Ghevra,Green Line,14790.39,177.49
Dariyapur Gaon,28.812783,77.00915,39,39,0.0035335689045936,0.0205857596702442,0.0007246278284227,"Dariyapur Gaon (21 m), Bajit Pur Crossing (209 m), Bajit Pur Crossing (221 m), Darya Pur Village (261 m), Harewali Xing (286 m)",Ghevra,Green Line,14192.81,170.32
Bajit Pur Crossing,28.811623,77.010991,74,74,0.0020191822311963,0.0108792526414287,0.0002415800211286,"Bajit Pur Crossing (14 m), Darya Pur Village (40 m), daria pur xing (135 m), Dariyapur Gaon (214 m), Dariyapur Gaon (221 m)",Ghevra,Green Line,14082.13,168.99
Dariyapur Kalan School,28.808967,77.015117,23,23,0.0020191822311963,0.0006285470481641,0.0002486930104645,"Dariyapur Kalan School Bawana (33 m), daria pur xing (367 m), Darya Pur Village (459 m), Bajit Pur Crossing (499 m), Bajit Pur Crossing (511 m)",Ghevra,Green Line,13837.5,166.06
PS Bawana,28.8066166666667,77.0231166666667,53,53,0.0015143866733972,0.0047729481570131,0.0002989709129551,"PS Bawana (25 m), Bawana Depot (603 m), Bawana Depot (620 m), Dariyapur Kalan School (823 m), Dariyapur Kalan School Bawana (851 m)",Rithala,Red Line,12563.81,150.77
Bawana Depot,28.803894,77.028469,54,54,0.0035335689045936,0.0055318401196369,0.0005512197714037,"Bawana Depot (26 m), PS Bawana (603 m), PS Bawana (608 m), Bawana Primary Scl (655 m), Panchayat Ghar (732 m)",Rithala,Red Line,11995.54,143.95
